Mean_Score,Std_Score,criterion,max_depth,min_samples_split,n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.5716539280742183,0.00386758927158362,entropy,9,4,200,0.5767389467755561,0.5660377358490566,0.5698591549295775,0.5752112676056338,0.5704225352112676
0.5715414424026559,0.005112295770151067,gini,9,8,200,0.5753308927062799,0.5640664601520698,0.5695774647887324,0.5788732394366197,0.5698591549295775
0.5711471396670647,0.0035685781402307413,entropy,9,8,200,0.5730780061954379,0.5651929034074908,0.5690140845070423,0.5749295774647887,0.5735211267605633
0.5708653860646277,0.003549042474285832,gini,9,3,200,0.5730780061954379,0.5663193466629118,0.568169014084507,0.5763380281690141,0.5704225352112676
0.5708092066904383,0.0040875389353853524,entropy,9,8,100,0.5730780061954379,0.5635032385243594,0.5704225352112676,0.5757746478873239,0.5712676056338029
0.5708090004402648,0.0033000576761381783,entropy,9,2,200,0.5733596170092932,0.5668825682906223,0.5698591549295775,0.5757746478873239,0.568169014084507
0.5706966258264881,0.0053416639669072305,entropy,9,6,100,0.5742044494508589,0.5606871303858069,0.5732394366197183,0.5754929577464789,0.5698591549295775
0.570527675203573,0.004308852122820783,entropy,9,5,100,0.5711067304984512,0.5626584060827936,0.5704225352112676,0.5754929577464789,0.5729577464788732
0.5704711467906283,0.004155139887997603,gini,9,4,200,0.5725147845677274,0.5646296817797803,0.5678873239436619,0.5769014084507043,0.5704225352112676
0.5704711150598324,0.0044351853535393925,entropy,9,7,100,0.5739228386370037,0.5637848493382146,0.5673239436619718,0.576056338028169,0.5712676056338029
0.5703585817920761,0.0036024405108975267,gini,9,9,200,0.5713883413123064,0.5637848493382146,0.5701408450704225,0.5746478873239437,0.571830985915493
0.5701894566497833,0.002996467828559573,gini,9,2,100,0.5711067304984512,0.5660377358490566,0.5692957746478873,0.5752112676056338,0.5692957746478873
0.5701331662178081,0.006119606349102613,entropy,9,2,100,0.5747676710785694,0.5615319628273726,0.5656338028169015,0.5785915492957746,0.5701408450704225
0.5701331186216143,0.0036481849146891513,entropy,9,9,200,0.5736412278231484,0.5635032385243594,0.5695774647887324,0.5732394366197183,0.5707042253521126
0.5701331027562162,0.004712654431666942,entropy,9,9,100,0.5742044494508589,0.5632216277105041,0.5673239436619718,0.5763380281690141,0.5695774647887324
