Mean_Score,Std_Score,criterion,max_depth,min_samples_split,n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.5717666675921482,0.0049293017645686485,entropy,9,7,100,0.5742044494508589,0.5674457899183328,0.5664788732394366,0.58,0.5707042253521126
0.5709780303901698,0.005154145216924107,entropy,9,8,200,0.5761757251478457,0.5637848493382146,0.5670422535211268,0.5771830985915493,0.5707042253521126
0.5709217399581947,0.0044074761744767755,entropy,9,6,200,0.5758941143339904,0.5632216277105041,0.5698591549295775,0.5743661971830986,0.5712676056338029
0.5706964989033045,0.004449053858226634,gini,9,9,200,0.5730780061954379,0.5640664601520698,0.5690140845070423,0.5774647887323944,0.5698591549295775
0.5705838387123643,0.004520190862443231,gini,9,7,200,0.5730780061954379,0.5637848493382146,0.5676056338028169,0.5769014084507043,0.5715492957746479
0.5705273578956136,0.0026225993718980555,entropy,9,4,200,0.5725147845677274,0.5668825682906223,0.5695774647887324,0.5743661971830986,0.5692957746478873
0.5704711626560263,0.004049412412409852,entropy,9,4,100,0.5694170656153196,0.5674457899183328,0.5673239436619718,0.5783098591549296,0.5698591549295775
0.5704147770316633,0.0032239640075228003,entropy,9,7,200,0.5711067304984512,0.5666009574767671,0.5701408450704225,0.576056338028169,0.568169014084507
0.570245921601136,0.003627839028066482,entropy,8,2,100,0.5694170656153196,0.5654745142213461,0.5707042253521126,0.5766197183098591,0.5690140845070423
0.5702458898703402,0.0036663578734907835,gini,9,4,200,0.5702618980568854,0.5651929034074908,0.5692957746478873,0.5766197183098591,0.5698591549295775
0.5702457946779523,0.0041855730501350686,gini,9,6,200,0.5739228386370037,0.5632216277105041,0.568169014084507,0.5746478873239437,0.5712676056338029
0.5702457629471562,0.0023633920169864866,entropy,9,8,100,0.5713883413123064,0.5663193466629118,0.5695774647887324,0.5735211267605633,0.5704225352112676
0.5702456836201666,0.004019783608425209,entropy,9,5,200,0.5730780061954379,0.5660377358490566,0.5687323943661972,0.5766197183098591,0.5667605633802817
0.5700770185744146,0.004350324767264335,gini,9,2,200,0.5699802872430302,0.5629400168966489,0.5698591549295775,0.5766197183098591,0.5709859154929577
0.5700203315074905,0.0031418290006528515,gini,9,5,100,0.5727963953815827,0.5663193466629118,0.5695774647887324,0.5743661971830986,0.5670422535211268
0.5699642631910868,0.004336884379336538,gini,9,5,200,0.5708251196845959,0.5635032385243594,0.568169014084507,0.5769014084507043,0.5704225352112676
0.5698515395385549,0.0048004794956327465,gini,9,9,100,0.5739228386370037,0.5612503520135174,0.568169014084507,0.5740845070422536,0.571830985915493
0.5698514760769631,0.0034544352430976337,gini,9,8,200,0.5719515629400169,0.5643480709659251,0.5707042253521126,0.5743661971830986,0.5678873239436619
0.569569817666914,0.004766724729135618,entropy,9,2,100,0.5730780061954379,0.5626584060827936,0.5653521126760563,0.5752112676056338,0.5715492957746479
0.5695135906965307,0.004666932356430466,gini,9,2,100,0.5719515629400169,0.5618135736412279,0.5687323943661972,0.576056338028169,0.5690140845070423
0.5695135748311327,0.002969234405143023,entropy,8,9,32,0.5699802872430302,0.5640664601520698,0.5692957746478873,0.5726760563380282,0.5715492957746479
0.5695133368501633,0.003310013568226453,entropy,9,9,200,0.5736412278231484,0.5646296817797803,0.5676056338028169,0.5726760563380282,0.5690140845070423
0.5694574271877392,0.0050506955273526685,entropy,9,5,100,0.5680090115460433,0.5626584060827936,0.5676056338028169,0.5780281690140845,0.5709859154929577
0.5694573319953514,0.005718227251069629,gini,9,2,32,0.5713883413123064,0.5609687411996621,0.5701408450704225,0.5783098591549296,0.5664788732394366
0.5694573319953514,0.003997128770277441,gini,9,4,100,0.5674457899183328,0.5649112925936356,0.5673239436619718,0.5763380281690141,0.5712676056338029
0.5694009781017846,0.004002267532997946,entropy,9,3,200,0.5705435088707407,0.5620951844550831,0.5701408450704225,0.5743661971830986,0.5698591549295775
0.5694008353132027,0.004138706070491646,gini,8,7,200,0.5702618980568854,0.5649112925936356,0.5650704225352112,0.576056338028169,0.5707042253521126
0.5693446559390135,0.0052124086520590265,gini,8,4,100,0.5705435088707407,0.5618135736412279,0.5661971830985916,0.5774647887323944,0.5707042253521126
0.5693445290158298,0.0036006505804443457,entropy,9,2,200,0.5719515629400169,0.5626584060827936,0.5692957746478873,0.5729577464788732,0.5698591549295775
0.5692883972378342,0.004526154166897608,gini,8,3,200,0.5688538439876091,0.5620951844550831,0.5690140845070423,0.5763380281690141,0.5701408450704225
0.5692881275260688,0.004267840310663004,entropy,8,6,200,0.5708251196845959,0.5649112925936356,0.5653521126760563,0.5766197183098591,0.5687323943661972
0.5692318846902876,0.001916305702668479,gini,9,9,32,0.5668825682906223,0.5671641791044776,0.5695774647887324,0.5715492957746479,0.5709859154929577
0.5692318053632978,0.005373597460622567,entropy,9,8,32,0.5716699521261617,0.5637848493382146,0.5653521126760563,0.5785915492957746,0.5667605633802817
0.569231726036308,0.004576516340186812,gini,8,9,100,0.5730780061954379,0.5637848493382146,0.5664788732394366,0.576056338028169,0.5667605633802817
0.56923171017091,0.005643106417875308,gini,8,6,200,0.5733596170092932,0.5637848493382146,0.5653521126760563,0.5783098591549296,0.5653521126760563
0.5691756735853023,0.004508206154769059,entropy,8,9,100,0.5685722331737538,0.5632216277105041,0.5678873239436619,0.5771830985915493,0.5690140845070423
0.5691755942583125,0.004095773709165165,gini,9,8,100,0.5688538439876091,0.5643480709659251,0.5656338028169015,0.5757746478873239,0.5712676056338029
0.5691192086339496,0.00399466674894741,entropy,8,8,200,0.5705435088707407,0.5635032385243594,0.5667605633802817,0.5754929577464789,0.5692957746478873
0.5691191451723577,0.0037348332964068725,gini,8,7,32,0.5713883413123064,0.5637848493382146,0.5667605633802817,0.5746478873239437,0.5690140845070423
0.5690629023365764,0.0038776372575744997,gini,9,5,32,0.5682906223598986,0.5651929034074908,0.5690140845070423,0.5763380281690141,0.5664788732394366
0.5690628706057805,0.004575487868158455,entropy,8,7,100,0.5691354548014643,0.5649112925936356,0.5659154929577465,0.5777464788732395,0.5676056338028169
0.5690064849814178,0.0043435102072362135,entropy,9,3,100,0.5711067304984512,0.5637848493382146,0.5667605633802817,0.5763380281690141,0.5670422535211268
0.5689503056072283,0.0038436715380115523,gini,9,4,32,0.5685722331737538,0.5635032385243594,0.5692957746478873,0.5754929577464789,0.5678873239436619
